[Readability]
Question 1: Distractor 1: 4/5, Distractor 2: 1/5, Distractor 3: 3/5
Question 24: Distractor 1: 1/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 25: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 26: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 3/5
Question 27: Distractor 1: 4/5, Distractor 2: 1/5, Distractor 3: 3/5
Question 28: Distractor 1: 3/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 29: Distractor 1: 4/5, Distractor 2: 1/5, Distractor 3: 3/5
Question 30: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 2/5
Question 31: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 32: Distractor 1: 4/5, Distractor 2: 1/5, Distractor 3: 2/5
Question 33: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 34: Distractor 1: 1/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 35: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 36: Distractor 1: 4/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 37: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 38: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 39: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 40: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 41: Distractor 1: 1/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 42: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 43: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 3/5
Question 44: Distractor 1: 1/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 45: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 46: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 47: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 48: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 49: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 50: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 51: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 52: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 53: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 54: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 55: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 56: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 57: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 58: Distractor 1: 5/5, Distractor 2: 2/5, Distractor 3: 5/5
Question 59: Distractor 1: 1/5, Distractor 2: 2/5, Distractor 3: 1/5
Question 60: Distractor 1: 4/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 61: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 62: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 63: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 64: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 65: Distractor 1: 2/5, Distractor 2: 3/5, Distractor 3: 2/5
Question 66: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 67: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 68: Distractor 1: 1/5, Distractor 2: 2/5, Distractor 3: 1/5
Question 69: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 70: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 71: Distractor 1: 2/5, Distractor 2: 3/5, Distractor 3: 3/5

[Diversity]
Question 1: Distractor 1: 2/5, Distractor 2: 1/5, Distractor 3: 4/5
Question 2: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 3: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 4: Distractor 1: 2/5, Distractor 2: 3/5, Distractor 3: 4/5
Question 5: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 6: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 7: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 8: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 9: Distractor 1: 3/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 10: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 11: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 12: Distractor 1: 3/5, Distractor 2: 2/5, Distractor 3: 1/5
Question 13: Distractor 1: 4/5, Distractor 2: 1/5, Distractor 3: 3/5
Question 14: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 15: Distractor 1: 1/5, Distractor 2: 3/5, Distractor 3: 1/5
Question 16: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 3/5
Question 17: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 2/5
Question 18: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 2/5
Question 19: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 20: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 21: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 22: Distractor 1: 2/5, Distractor 2: 3/5, Distractor 3: 4/5
Question 23: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 24: Distractor 1: 4/5, Distractor 2: 3/5, Distractor 3: 4/5
Question 25: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 26: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 3/5
Question 27: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 28: Distractor 1: 3/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 29: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 30: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 2/5
Question 31: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 32: Distractor 1: 4/5, Distractor 2: 1/5, Distractor 3: 3/5
Question 33: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 34: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 35: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 36: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 37: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 38: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 39: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 40: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 41: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 42: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 43: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 2/5
Question 44: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 3/5
Question 45: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 46: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 47: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 48: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 49: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 50: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 51: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 52: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 53: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 54: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 55: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 56: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 57: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 58: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 59: Distractor 1: 4/5, Distractor 2: 3/5, Distractor 3: 2/5
Question 60: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 61: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 1/5
Question 62: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 63: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 64: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 65: Distractor 1: 3/5, Distractor 2: 2/5, Distractor 3: 3/5
Question 66: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 67: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 68: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 69: Distractor 1: 3/5, Distractor 2: 3/5, Distractor 3: 3/5
Question 70: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 71: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 4/5

[Plausibility]
Question 1: Distractor 1: 3/5, Distractor 2: 1/5, Distractor 3: 3/5
Question 2: Distractor 1: 3/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 3: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 4: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 5: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 6: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 1/5
Question 7: Distractor 1: 4/5, Distractor 2: 3/5, Distractor 3: 2/5
Question 8: Distractor 1: 3/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 9: Distractor 1: 4/5, Distractor 2: 3/5, Distractor 3: 2/5
Question 10: Distractor 1: 5/5, Distractor 2: 5/5, Distractor 3: 5/5
Question 11: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 12: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 13: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 14: Distractor 1: 1/5, Distractor 2: 1/5, Distractor 3: 4/5
Question 15: Distractor 1: 1/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 16: Distractor 1: 1/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 17: Distractor 1: 2/5, Distractor 2: 1/5, Distractor 3: 4/5
Question 18: Distractor 1: 1/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 19: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 20: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 21: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 22: Distractor 1: 2/5, Distractor 2: 3/5, Distractor 3: 4/5
Question 23: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 24: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 25: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 26: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 27: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 28: Distractor 1: 3/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 29: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 30: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 31: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 32: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 33: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 34: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 1/5
Question 35: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 36: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 37: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 38: Distractor 1: 3/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 39: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 40: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 41: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 42: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 43: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 3/5
Question 44: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 3/5
Question 45: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 46: Distractor 1: 3/5, Distractor 2: 4/5, Distractor 3: 2/5
Question 47: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 48: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 49: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 50: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 51: Distractor 1: 3/5, Distractor 2: 4/5, Distractor 3: 3/5
Question 52: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 53: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 54: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 55: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 56: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 57: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 58: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 59: Distractor 1: 2/5, Distractor 2: 3/5, Distractor 3: 1/5
Question 60: Distractor 1: 4/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 61: Distractor 1: 1/5, Distractor 2: 2/5, Distractor 3: 1/5
Question 62: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 63: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 64: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 65: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 66: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 67: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 68: Distractor 1: 1/5, Distractor 2: 2/5, Distractor 3: 4/5
Question 69: Distractor 1: 4/5, Distractor 2: 4/5, Distractor 3: 4/5
Question 70: Distractor 1: 2/5, Distractor 2: 2/5, Distractor 3: 2/5
Question 71: Distractor 1: 2/5, Distractor 2: 4/5, Distractor 3: 4/5
