,source_sent,question,answer,dis1,dis2,dis3
11," Psychologists have taken many different approaches to the study of personality, including biological, cognitive, learning, and trait-based theories, as well as psychodynamic, and humanistic approaches.",What type of approach is personology?,Humanistic approaches.,Psychodynamic approaches.,Cognitive approaches.,Instrumental approaches.
12," The various approaches used to study personality today reflect the influence of the first theorists in the field, a group that includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.",Who was the first person to study personality?,Sigmund Freud.,James.,Judith Rich.,Alfred Adler.
13," The various approaches used to study personality today reflect the influence of the first theorists in the field, a group that includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.",Who was the first person to study personality?,Alfred Adler.,Thomas Jefferson.,Jacques Gélis.,Henry A. Murray.
14," The various approaches used to study personality today reflect the influence of the first theorists in the field, a group that includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.",What is the name of the psychologist who has been involved in the study of personality?,Gordon Allport.,Thomas Jefferson.,Alfred Adler.,Judith Rich Harris.
15," The various approaches used to study personality today reflect the influence of the first theorists in the field, a group that includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.",Whose Personality Questionnaire was developed in the 1960s?,Hans Eysenck.,Thomas Jefferson.,Judith Rich Harris.,Alfred Adler.
16," The various approaches used to study personality today reflect the influence of the first theorists in the field, a group that includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.",Who was the first person to use the Big Five?,Abraham Maslow.,Thomas Jefferson.,Judith Rich Harris.,Sigmund Freud.
17," The various approaches used to study personality today reflect the influence of the first theorists in the field, a group that includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.",Who is the most well-known psychologist of the 20th century?,Carl Rogers.,Thomas Jefferson.,Judith Rich Harris.,Raymond Cattell.
18,"

Personality can be determined through a variety of tests.",What determines a person's personality?,Variety of tests.,The influence of culture.,The influence of environment.,The influence of culture.
19," Due to the fact that personality is a complex idea, the dimensions of personality and scales of such tests vary and often are poorly defined.",What is personality a complex idea?,Complex idea.,Personality traits.,Personality traits.,Personality traits.
20," Due to the fact that personality is a complex idea, the dimensions of personality and scales of such tests vary and often are poorly defined.",What does the BFI measure?,Dimensions of personality.,Personality traits.,The influence of environment.,The influence of culture.
21," Due to the fact that personality is a complex idea, the dimensions of personality and scales of such tests vary and often are poorly defined.",What does the BFI measure?,Scales of such tests vary.,Personality traits are determined by the environment.,The test is based on the underlying theories.,The test is based on the linguistic approach.
22, Two main tools to measure personality are objective tests and projective measures.,What is the Big Five Inventory?,Objective tests.,Personality traits.,Personality traits.,Personality traits.
23, Two main tools to measure personality are objective tests and projective measures.,What is the BFI?,Projective measures.,Personality traits.,The MMPI-2.,The OCEAN.
24," Examples of such tests are the: Big Five Inventory (BFI), Minnesota Multiphasic Personality Inventory (MMPI-2), Rorschach Inkblot test, Neurotic Personality Questionnaire KON-2006, or Eysenck's Personality Questionnaire (EPQ-R).",What is the name of the personality test?,Big Five Inventory (BFI).,Personality and Culture.,The Five-Factor Model of Personality.,The Personality Inventory.
25," Examples of such tests are the: Big Five Inventory (BFI), Minnesota Multiphasic Personality Inventory (MMPI-2), Rorschach Inkblot test, Neurotic Personality Questionnaire KON-2006, or Eysenck's Personality Questionnaire (EPQ-R).",What is the name of the test used to measure personality?,Minnesota Multiphasic Personality Inventory (MMPI-2).,The Big Five Inventory,The Rorschach Inkblot test,The Temperament Inventory
26," Examples of such tests are the: Big Five Inventory (BFI), Minnesota Multiphasic Personality Inventory (MMPI-2), Rorschach Inkblot test, Neurotic Personality Questionnaire KON-2006, or Eysenck's Personality Questionnaire (EPQ-R).",What is the name of the test used to determine a person's personality?,Rorschach Inkblot test.,The Big Five Inventory.,The Character Inventory.,The NEO-PI-R.
27," Examples of such tests are the: Big Five Inventory (BFI), Minnesota Multiphasic Personality Inventory (MMPI-2), Rorschach Inkblot test, Neurotic Personality Questionnaire KON-2006, or Eysenck's Personality Questionnaire (EPQ-R).",What is the name of the questionnaire used to measure personality?,Neurotic Personality Questionnaire KON-2006.,Personality Inventory.,The Big Five Inventory.,The Personality Inventory.
28," Examples of such tests are the: Big Five Inventory (BFI), Minnesota Multiphasic Personality Inventory (MMPI-2), Rorschach Inkblot test, Neurotic Personality Questionnaire KON-2006, or Eysenck's Personality Questionnaire (EPQ-R).",What is the name of the questionnaire used to measure personality?,Eysenck's Personality Questionnaire (EPQ-R).,The Big Five Inventory.,The Character Inventory.,The NEO-PI-R.
29," All of these tests are beneficial because they have both reliability and validity, two factors that make a test accurate.",What are the two factors that make a personality test accurate?,Reliability and validity.,The influence of culture.,The influence of environment.,The influence of a person's environment.
30,""" A recent, but not well-known, measuring tool that psychologists use is the 16PF.",What is the 16PF?,Measuring tool.,Providing a way to measure personality.,Providing a way to diagnose personality disorders.,Providing a way to measure personality traits.
31,""" A recent, but not well-known, measuring tool that psychologists use is the 16PF.",What is the name of the test used to measure personality?,16PF.,MMPI-2.,OCEAN.,MMPI-R.
32, It measures personality based on Cattell's 16-factor theory of personality.,What is the 16PF based on?,Cattell's 16-factor theory.,The influence of culture on personality.,The influence of the environment on personality.,The influence of the environment on personality.
33, Psychologists also use it as a clinical measuring tool to diagnose psychiatric disorders and help with prognosis and therapy planning.,What is the 16PF used for?,Clinical measuring tool.,Personality development.,Personality assessment.,Personality development.
34, Psychologists also use it as a clinical measuring tool to diagnose psychiatric disorders and help with prognosis and therapy planning.,What is the 16PF used to diagnose?,Psychiatric disorders.,Personality traits.,Personality traits.,Personality traits.
35, Psychologists also use it as a clinical measuring tool to diagnose psychiatric disorders and help with prognosis and therapy planning.,What does the 16PF measure?,Prognosis and therapy planning.,Personality traits and their effects.,The relationship between personality and environment.,The relationship between personality and environment.
36,"

Personality is frequently broken into factors or dimensions, statistically extracted from large questionnaires through factor analysis.",What are the dimensions of personality?,Frequently broken into factors.,Often based on a variety of tests.,Often based on a variety of theories.,Often based on a variety of tests.
37,"

Personality is frequently broken into factors or dimensions, statistically extracted from large questionnaires through factor analysis.",How is personality broken into dimensions?,Statistically extracted from large questionnaires.,Using a variety of assessment tools.,Using a lexical approach.,Using a variety of tests.
38," When brought back to two dimensions, often the dimensions of introvert-extrovert and neuroticism (emotionally unstable-stable) are used as first proposed by Eysenck in the 1960s.",What is one of the Big Five traits?,Introvert-extrovert.,Personality traits.,Personality traits.,Personality traits.
39," When brought back to two dimensions, often the dimensions of introvert-extrovert and neuroticism (emotionally unstable-stable) are used as first proposed by Eysenck in the 1960s.",What is another name for neuroticism?,Neuroticism (emotionally unstable-stable).,Personality traits.,Personality traits.,Personality traits.
40," Examples of such tests are the: Big Five Inventory (BFI), Minnesota Multiphasic Personality Inventory (MMPI-2), Rorschach Inkblot test, Neurotic Personality Questionnaire KON-2006, or Eysenck's Personality Questionnaire (EPQ-R).",What is the BFI?,Big Five.,Personality traits.,The OCEAN.,The MMPI-2.
41,"

Many factor analyses found what is called the Big Five, which are openness to experience, conscientiousness, extraversion, agreeableness, and neuroticism (or emotional stability), known as ""OCEAN"".",What is one of the Big Five traits?,Openness to experience.,The ability to make decisions.,The ability to control emotions.,The ability to make decisions.
42,"

Many factor analyses found what is called the Big Five, which are openness to experience, conscientiousness, extraversion, agreeableness, and neuroticism (or emotional stability), known as ""OCEAN"".",What is one of the Big Five traits?,Conscientiousness.,The ability to make decisions.,The ability to control emotions.,The ability to be independent.
43,"

Many factor analyses found what is called the Big Five, which are openness to experience, conscientiousness, extraversion, agreeableness, and neuroticism (or emotional stability), known as ""OCEAN"".",What is one of the Big Five traits?,Extraversion.,Personality.,Persistence.,Self-esteem.
44,"

Many factor analyses found what is called the Big Five, which are openness to experience, conscientiousness, extraversion, agreeableness, and neuroticism (or emotional stability), known as ""OCEAN"".",What is one of the Big Five traits?,Agreeableness.,The ability to make decisions.,The ability to control emotions.,The ability to make decisions.
45,"

Many factor analyses found what is called the Big Five, which are openness to experience, conscientiousness, extraversion, agreeableness, and neuroticism (or emotional stability), known as ""OCEAN"".",What is another name for OCEAN?,Neuroticism (or emotional stability).,Personality traits.,The Five-Factor Model.,The Mood Maintenance.
46,"

Many factor analyses found what is called the Big Five, which are openness to experience, conscientiousness, extraversion, agreeableness, and neuroticism (or emotional stability), known as ""OCEAN"".",What is the term for neuroticism?,OCEAN.,OCEAN--a personality trait.,OCEAN--a personality trait.,OCEAN--a personality trait.
47," These components are generally stable over time, and about half of the variance appears to be attributable to a person's genetics rather than the effects of one's environment.",Is personality stable over the course of a lifetime?,Stable over time.,Personality is a complex concept.,Personality is a universal concept.,Personality is a complex concept.
48, Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Identical twins have similar personalities because they share the same what?,Genetic makeup.,Personality traits.,Personality traits.,Personality traits.
49," These components are generally stable over time, and about half of the variance appears to be attributable to a person's genetics rather than the effects of one's environment.",What is the main factor that influences a person's personality?,Effects of one's environment.,The influence of one's environment.,The influence of one's environment.,The influence of one's environment.
50,"

It has been shown that personality traits are more malleable by environmental influences than researchers originally believed.",What has been shown about personality traits?,Malleable by environmental influences.,The influence of culture on personality.,The influence of environment on personality.,The influence of culture on personality.
51, Personality differences predict the occurrence of life experiences.,What predicts the occurrence of a person's personality?,Life experiences.,The environment.,The genetic makeup.,The environment.
52,"

One study has shown how the home environment, specifically the types of parents a person has, can affect and shape their personality.",What can affect a person's personality?,Home environment.,The influence of the environment.,The influence of the environment.,The influence of the environment.
53,"

One study has shown how the home environment, specifically the types of parents a person has, can affect and shape their personality.",What influences a person's personality?,Types of parents.,The influence of the environment.,The influence of the environment.,The influence of the environment.
54,,What is one of the Big Five traits?,Attachment styles.,Personality traits.,Personality traits.,Personality traits.
55, Mary Ainsworth's strange situation experiment showcased how babies reacted to having their mother leave them alone in a room with a stranger.,What showed how babies reacted to having their mother leave them alone in a room with a stranger?,Mary Ainsworth's strange situation experiment.,The influence of the environment on personality traits.,The influence of the underlying factors on personality traits.,The influence of the environment on personality traits.
56," The different styles of attachment, labeled by Ainsworth, were Secure, Ambivalent, avoidant, and disorganized.","Who labeled babies Secure, Ambivalent, Avoidant, and Disorganized?","Attachment, labeled by Ainsworth.",The underlying factors of personality.,The underlying factors of personality.,The underlying factors of personality.
57," The different styles of attachment, labeled by Ainsworth, were Secure, Ambivalent, avoidant, and disorganized.",What are the four styles of attachment?,"Secure, Ambivalent, avoidant, and disorganized.","Personality, a collection of interrelated behavioral, cognitive and emotional patterns.","Personality, a system of measures that determines personality traits.","Personality, a collection of interrelated behavioral, cognitive and emotional patterns."
58,"

Judith Rich Harris's group socialization theory postulates that an individual's peer groups, rather than parental figures, are the primary influence of personality and behavior in adulthood.",What theory states that peer groups are the primary influence of personality in adulthood?,Group socialization theory.,Personality traits.,The five-factor theory.,The logical approach.
59,"

Judith Rich Harris's group socialization theory postulates that an individual's peer groups, rather than parental figures, are the primary influence of personality and behavior in adulthood.",What does the 16PF measure?,Primary influence of personality.,Personality traits.,The influence of culture.,The influence of environment.
60,"

Judith Rich Harris's group socialization theory postulates that an individual's peer groups, rather than parental figures, are the primary influence of personality and behavior in adulthood.",Whose group socialization theory postulates that peer groups are the primary influence of personality in adulthood?,Judith Rich Harris.,Thomas Jefferson.,Henry A. Murray.,Jacques Gélis.
61,"

Judith Rich Harris's group socialization theory postulates that an individual's peer groups, rather than parental figures, are the primary influence of personality and behavior in adulthood.",What is the term used to describe a group of people with different personalities?,Peer groups.,Personality traits.,Personality traits.,Personality traits.
62,"

Tessuya Kawamoto's Personality Change from Life Experiences: Moderation Effect of Attachment Security talked about some significant laboratory tests.",What is the name of Tessuya Kawamoto's book?,Personality Change from Life Experiences: Moderation Effect of Attachment Security.,Personality and Culture.,Personality and Culture.,Personality and Culture.
63,"

Tessuya Kawamoto's Personality Change from Life Experiences: Moderation Effect of Attachment Security talked about some significant laboratory tests.",What is a good way to determine a person's personality?,Significant laboratory tests.,The influence of culture.,The influence of environment.,The influence of environment.
64, The study mainly focused on the effects of life experiences on change in personality and life experiences.,"What is the ""Big Five"" theory of personality?",Effects of life experiences on change in personality.,The relationship between personality and environment.,The influence of personality traits on one's behavior.,The relationship between personality traits and environment.
65, Personality differences predict the occurrence of life experiences.,What predicts the occurrence of a person's personality?,Life experiences.,The environment.,The genetic makeup.,The environment.
66," The assessments suggested that ""the accumulation of small daily experiences may work for the personality development of university students and that environmental influences may vary by individual susceptibility to experiences, like attachment security"".",What may work for the development of a person's personality?,Accumulation of small daily experiences.,The influence of the environment.,The influence of the environment.,The influence of the environment.
67,"

It has been shown that personality traits are more malleable by environmental influences than researchers originally believed.",What has been shown to be more malleable than originally thought?,Environmental influences.,Personality traits.,Cultural differences.,Personality traits.
68," The assessments suggested that ""the accumulation of small daily experiences may work for the personality development of university students and that environmental influences may vary by individual susceptibility to experiences, like attachment security"".",What is the main factor that influences a person's personality?,Individual susceptibility to experiences.,The influence of the environment.,The influence of the environment.,The influence of the environment.
69," Personality is not stable over the course of a lifetime, but it changes much more quickly during childhood, so personality constructs in children are referred to as temperament.",What is the precursor to personality?,Temperament.,The logical approach.,The logical approach.,The instrumental theory.
70, Temperament is regarded as the precursor to personality.,What is temperament considered to be?,Precursor to personality.,Personality trait.,A factor determining personality.,A factor determining personality.
