relation,nucleus,satellite,question,answer,distractor1,distractor2,distractor3
Enablement,and often use software systems,to manage and facilitate student - led instruction.,For what purpose software systems are used?,To manage and facilitate student - led instruction.,To provide feedback to students.,To optimize the pace of learning and the instructional approach.,To provide feedback to students.
Enablement,in which the learner develops skills,to tailor his own learning.,For what purpose does a learner develop skills?,To tailor his own learning.,To make his own learning more meaningful.,To make his own learning more meaningful.,To make his own learning more effective.
Enablement,to tailor education,to meet the different needs of students.,For what purpose education?,To meet the different needs of students.,To tailor education according to the learners' needs.,To provide a way to communicate with the learner.,To make students understand the concepts and concepts.
Elaboration,"First, building student knowledge is dependent on the current level of knowledge the student has and what kind of support",they are provided.,What is the main factor that determines the level of student knowledge and support provided?,They are provided.,They have a good understanding of the subject.,They have a good understanding of the subject.,They have a good understanding of the subject.
Elaboration,Observing two students,"who were ELLs in a second - grade classroom working on a book project,",What did Smith observe two students doing?,Were ELLs in a second - grade classroom working on a book project.,Were ELLs in a third - grade classroom working on a book project.,Were ELLs in a third - grade classroom working on a book project.,Were ELLs in a third - grade classroom working on a book project.
Elaboration,Katie Wood Ray and Lester L. Laminack added a fourth component in,"where after the teaching portion, the student and / or the teacher would "" Make a Record "".",What did Katie Wood Ray and Lester L. Laminack add a fourth component to?,"After the teaching portion, the student and / or the teacher would "" Make a Record.",The teacher would sit and talk with their students about their writing.,The teacher would use modeling and guiding practice to further advance student learning.,The writing workshop was a mix method case study.
Elaboration,""" Conferring can give us the force",that makes our mini - lessons and curriculum development and assessment and everything else more powerful.,What does conferring give us the force that?,Makes our mini - lessons and curriculum development and assessment and everything else more powerful.,"Gives us an endless resource of teaching wisdom, an endless source of accountability, a system of checks and balances.",Gives us laughter and human connection - the understanding of our children that gives spirit to our teaching.,"Gives us an endless resource of teaching wisdom, an endless source of accountability, a system of checks and balances."
Elaboration,"as defined by Julie Kallio, is a "" regular, goal - oriented meeting between the teacher and student ( s )","where they talk about learning progress, process, and / or products.","What happens in a regular, goal - oriented meeting between the teacher and student?","They talk about learning progress, process, and / or products.",They talk about the pace of learning and the instructional approach.,They talk about the pace of learning and the instructional approach.,They talk about the pace of learning and the instructional approach.
Elaboration,""" Conferring is a process",in which this can be accomplished.,"What is the purpose of ""conferring"" as a process?",This can be accomplished.,"It is a regular, goal oriented meeting.",It is a way to provide more personalized feedback.,It is a way to provide more personalized feedback.
Elaboration,""" Personalized learning refers to instruction",in which the pace of learning and the instructional approach are optimized the needs for each learner.,What does the 2017 United States National Education Technology Plan say about personalized learning and instruction?,The pace of learning and the instructional approach are optimized the needs for each learner.,The pace of learning and the instructional approach are not optimized the needs for each learner.,The pace of learning and the instructional approach are not optimized the needs for each learner.,The pace of learning and the instructional approach are not optimized the needs for each learner.
Elaboration,Personalized learning refers to instruction,in which the pace of learning and the instructional approach are optimized for the needs of each learner.,What does personalized learning refer to in instruction?,The pace of learning and the instructional approach are optimized for the needs of each learner.,"Learning objectives, instructional approaches, and instructional content vary based on learner needs.","Learning activities are meaningful and relevant to learners, driven by their interests.",Learning activities are relevant and relevant to learners.
Elaboration,"and "" personalization by the learner "",",in which the learner develops skills to tailor his own learning.,What is personalization by the learner?,The learner develops skills to tailor his own learning.,The learner has to learn something new from the teacher.,The learner has to learn something new from the teacher.,The learner has to learn something new from the teacher.
Elaboration,""" personalization for the learner "",","in which the teacher tailors the learning,",What is personalization for the learner?,The teacher tailors the learning.,The learner develops skills to tailor his own learning.,The learner has to learn at a slow pace.,The learner has to learn at a slow pace.
