relation,nucleus,satellite,question,answer
Contrast,"A long - term effect of the Great Depression was the departure of every major currency from the gold standard,",although the initial impetus for this was World War II ( see Bretton Woods Accord ).,How was the effect of the Great Depression different from the other two periods?,"A long - term effect of the Great Depression was the departure of every major currency from the gold standard, although the initial impetus for this was World War II ( see Bretton Woods Accord."
Contrast,while the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 35 %,- U. S. employment was still over 25 % agricultural ).,How was the U.S. unemployment in 1930s different from the other countries?,While the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 35 % U. S. employment was still over 25 % agricultural.
Contrast,"it was followed by a thirty - year period of a booming economy in the United States, which is now called the Second Industrial Revolution ( of the 1850s ).","As with most depressions,",How was the Great Depression of 1837 different from the Great Depression of 1837?,"As with most depressions, it was followed by a thirty - year period of a booming economy in the United States, which is now called the Second Industrial Revolution ( of the 1850s."
Contrast,"but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession "".","has at times been termed a depression,",How has the 2008 - 2009 economic cycle been described?,"The 2008 - 2009 economic cycle has at times been termed a depression, but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession."
Contrast,"There have been many periods of prolonged economic underperformance in particular countries / regions since 1945, detailed below,","but terming these as "" depressions "" is controversial.","How has the definition of "" depressions "" changed since the beginning of the 20th century?","There have been many periods of prolonged economic underperformance in particular countries / regions since 1945, detailed below, but terming these as "" depressions "" is controversial."
Contrast,"this is simply a stylistic change, similar to the decline in the use of "" panic "" to refer to financial crises,",but it does also reflect that the economic cycle - both in the United States and in most OECD countries - though not in all - has been more moderate since 1945.,How is the current economic situation related to the Great Depression?,"This is simply a stylistic change, similar to the decline in the use of "" panic "" to refer to financial crises, but it does also reflect that the economic cycle - both in the United States and in most OECD countries - though not in all - has been more moderate since 1945."
Contrast,"but economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression.","and for the more widespread crises of the 1870s and 1930s,",How was the term 'Great Depression' used for regional crises?,"And for the more widespread crises of the 1870s and 1930s, but economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression."
Contrast,"but economic crises since 1945 have generally been referred to as "" recessions "",","with the 1970s global crisis referred to as "" stagflation "", but not a depression.",How are economic crises since 1945 referred to?,"But economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression."
Contrast,"Under the second definition, depressions and recessions will always be distinct events","however, having the same starting dates.",How is a recession defined differently?,"However, depressions having the same starting dates. Under the second definition, depressions and recessions will always be distinct events."
Enablement,"the phrase "" The Great Depression "" had already been used","to refer to the period 1873 - 96 ( in the United Kingdom ), or more narrowly 1873 - 79 ( in the United States ), which has since been renamed the Long Depression.","For what purpose was the phrase "" The Great Depression"" used?","To refer to the period 1873 - 96 ( in the United Kingdom ), or more narrowly 1873 - 79 ( in the United States ), the period has since been renamed the Long Depression."
Manner-Means,"Thomas Hobbes, an English philosopher, created the first recorded explanation of the need for a universal Social Contract in his 1651 book Leviathan",based on the general misery within society during this period.,How did Thomas Hobbes explain the need for a universal Social Contract?,Based on the general misery within society during this period.
Manner-Means,"most economists refer to the Great Depression, as the period between 1929 and 1941.","Using the second definition of depression,",How is the Great Depression defined?,Using the second definition of depression.
Manner-Means,to purchase goods,relative to the amount that could be produced using current resources and technology ( potential output ).,How are periods labeled depressions defined?,Relative to the amount could be produced using current resources and technology ( potential output.
Manner-Means,that could be produced,using current resources and technology,How the goods can be produced in a recession according to the National Bureau of Economic Research?,Using current resources and technology.
Temporal,"Argentina, Brazil, Chile, Mexico, and Peru experienced great depressions in the 1980s,",and Argentina experienced another between 1998 and 2002.,"After the global downturn, what was the definition of a great depression?",Argentina experienced another between 1998 and 2002.
Temporal,"coupled with the rising costs of maintenance of welfare state in most countries led to a recession between 1973 and 1975,",followed by a period of almost minimal growth and rising inflation and unemployment.,"After the 1973 oil crisis, what was the result of the recession?",A period of almost minimal growth and rising inflation and unemployment.
Temporal,the Finnish markka was floated,"and was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment.","After the financial crisis of 1998, what happened to the Finnish economy?","The Finnish markka was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment."
Temporal,"This depression is generally considered to have begun with the Wall Street Crash of 1929,",and the crisis quickly spread to other national economies.,After the Wall Street Crash of 1929?,The crisis quickly spread to other national economies.
Temporal,"##Starting with the adoption of the gold standard in Britain and the United States,",the Long Depression ( 1873 - 1896 ),"After the adoption of the gold standard in Britain and the United States, what was called the Great Depression?",The Long Depression ( 1873 - 1896.
Elaboration,"causing a recession in 1990 - 91 ( also fueled by the oil price crisis ),",whose effects lasted as late as 1994.,What was the oil price crisis?,Whose effects lasted as late as 1994.
Elaboration,##The economic crisis in the 1990s,that struck former members of the Soviet Union was almost twice as intense as the Great Depression in the countries of Western Europe and the United States in the 1930s.,What was the economic crisis in the 1990s comparable to the Great Depression in the Soviet Union?,Struck former members of the Soviet Union was almost twice as intense as the Great Depression in the countries of Western Europe and the United States in the 1930s.
Elaboration,"The more common use, however, also encompasses the time",until the economic activity has returned close to normal levels.,What is the most common definition of depression?,The economic activity has returned close to normal levels.
Elaboration,Some economists refer only to the period,when economic activity is declining.,What do some economists refer to as the period?,Economic activity is declining.
Elaboration,"It is a result of more severe economic problems or a downturn than the recession itself,",which is a slowdown in economic activity over the course of the normal business cycle of growing economy.,What is an economic depression?,Is a slowdown in economic activity over the course of the normal business cycle of growing economy.
Elaboration,that may be named economic depression are part of economic cycles,where the slowdown of the economy follows the economic growth and vice versa.,What is the relationship between economic cycles?,The slowdown of the economy follows the economic growth and vice versa.
