relation,nucleus,satellite,question,answer,distractor1,distractor2,distractor3
Explanation,"Also, the Spanish flu pandemic of 1918 - 20 brought economic activity to a standstill",as even more people became incapacitated.,Why a Spanish flu pandemic brought economic activity to a standstill?,Even more people became incapacitated.,"Most developed countries had mostly recovered by 1921 - 22, however Germany saw its economy crippled until 1923 - 24 because of the hyperinflation crisis.","The 1973 oil crisis, coupled with the rising costs of maintenance of welfare state in most countries led to a recession between 1973 and 1975.",The oil price rises and economic overheating caused by deregulation led to a gradual deterioration of the world economy with inflation.
Explanation,"Under the first definition, each depression will always coincide with a recession,",since the difference between a depression and a recession is the severity of the fall in economic activity.,Why will a depression always coincide with a recession?,The difference between a depression and a recession is the severity of the fall in economic activity.,The length of depression will always be longer than that of the recession starting the same date.,The length of depression will always be longer than that of the recession starting the same date.,The length of depression will always be longer than that of the recession starting the same date.
Contrast,"This definition also includes the economic performance of New Zealand from 1974 to 1992 and Switzerland from 1973 to the present,",although this designation for Switzerland has been controversial.,"How does the term "" Switzerland"" compare to the other countries?","This definition also includes the economic performance of New Zealand from 1974 to 1992 and Switzerland from 1973 to the present, although this designation for Switzerland has been controversial.",Switzerland is a country that has a stable economy and has a stable economy.,Switzerland is a country that has a stable economy and a stable economy.,Switzerland is a country that has a stable economy and a stable economy.
Contrast,U. S. President George H. W. Bush lost the 1992 election to Bill Clinton because of the domestic malady marked by the depression and increasing urban decay.,"and while his approval ratings were above 60 %,",How did the US President George H. W. Bush's approval ratings compare to the 1992 election?,"And while his approval ratings were above 60 %, U. S. President George H. W. Bush lost the 1992 election to Bill Clinton because of the domestic malady marked by the depression and increasing urban decay.","His approval ratings were above 60 %, U. S. President George H. W. Bush lost the 1992 election to Bill Clinton because of the domestic malady marked by the depression and increasing urban decay.","And while his approval ratings were above 60 %, U. S. President George H. W. Bush lost the 1992 election to Bill Clinton because of the domestic malady marked by the depression and increasing urban decay.","And while his approval ratings were above 60 %, U. S. President George H. W. Bush lost the 1992 election to Bill Clinton because of the domestic malady marked by the depression and rising inflation and rising unemployment."
Contrast,"that ruined many developing nations,","while servicemen returning from the trenches found themselves with high unemployment as businesses failed, unable to transition into a peacetime economy.",How was the economic situation after World War I different from the one after World War I?,"A global nosedive ruined many developing nations, while servicemen returning from the trenches found themselves with high unemployment as businesses failed, unable to transition into a peacetime economy.","Most developed countries had mostly recovered by 1921 - 22, however Germany saw its economy crippled until 1923 - 24 because of the hyperinflation crisis.","The 1973 oil crisis, coupled with the rising costs of maintenance of welfare state in most countries, led to a period of almost minimal growth and rising inflation and unemployment.","The 1973 oil crisis, coupled with the rising costs of maintenance of welfare state in most countries led to a period of almost minimal growth and rising inflation and unemployment."
Contrast,"and was eventually replaced by the euro in 1999, ending decades of government control of the economy,","but also high, persistent unemployment.",How did the Finnish economy change in 1999?,"And the Finnish markka was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment.","And the Finnish markka was floated and was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment.","And the Finnish markka was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment.","And the Finnish markka was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment."
Contrast,"A long - term effect of the Great Depression was the departure of every major currency from the gold standard,",although the initial impetus for this was World War II ( see Bretton Woods Accord ).,How was the effect of the Great Depression different from the other two periods?,"A long - term effect of the Great Depression was the departure of every major currency from the gold standard, although the initial impetus for this was World War II ( see Bretton Woods Accord.",The long - term effect of the Great Depression was the adoption of the gold standard in Britain and the United States.,The Great Depression was the failure of banks and record high unemployment levels.,The short - term effect of the Great Depression was the decline of the gross national product of the United States.
Contrast,while the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 35 %,- U. S. employment was still over 25 % agricultural ).,How was the U.S. unemployment in 1930s different from the other countries?,While the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 35 % U. S. employment was still over 25 % agricultural.,While the rate of unemployment decreased to 25 % ( with industrial unemployment alone rising to approximately 25 % U. S. employment was still over 25 % agricultural.,While the rate of unemployment decreased to 25 % ( with industrial unemployment alone rising to approximately 25 % U. S. employment was still over 25 % agricultural.,While the rate of unemployment decreased to 25 % ( with industrial unemployment alone rising to approximately 35 % U. S. employment was still over 25 % agricultural.
Contrast,"it was followed by a thirty - year period of a booming economy in the United States, which is now called the Second Industrial Revolution ( of the 1850s ).","As with most depressions,",How was the Great Depression of 1837 different from the Great Depression of 1837?,"As with most depressions, it was followed by a thirty - year period of a booming economy in the United States, which is now called the Second Industrial Revolution ( of the 1850s.",It was a worse depression in the United States than the later Great Depression of the 1930s.,It was a five - year depression with the failure of banks and record high unemployment levels.,It was a worse depression in the United States than the later Great Depression of the 1930s.
Contrast,"but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession "".","has at times been termed a depression,",How has the 2008 - 2009 economic cycle been described?,"The 2008 - 2009 economic cycle has at times been termed a depression, but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession.","The 2008 - 2009 economic cycle has at times been termed a recession, but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession "".","The 2008 - 2009 economic cycle has at times been termed a recession, but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession "".","The 2008 - 2009 economic cycle has at times been termed a recession, but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession ""."
Contrast,"There have been many periods of prolonged economic underperformance in particular countries / regions since 1945, detailed below,","but terming these as "" depressions "" is controversial.","How has the definition of "" depressions "" changed since the beginning of the 20th century?","There have been many periods of prolonged economic underperformance in particular countries / regions since 1945, detailed below, but terming these as "" depressions "" is controversial.","The 2008 - 2009 economic cycle has at times been termed a depression, but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession "".","The lack of an agreed definition and the strong negative associations has made the definition of any period as a "" depression "" contentious.","The 2008 - 2009 economic cycle has comprised the most significant global crisis since the Great Depression, but this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession ""."
Contrast,"this is simply a stylistic change, similar to the decline in the use of "" panic "" to refer to financial crises,",but it does also reflect that the economic cycle - both in the United States and in most OECD countries - though not in all - has been more moderate since 1945.,How is the current economic situation related to the Great Depression?,"This is simply a stylistic change, similar to the decline in the use of "" panic "" to refer to financial crises, but it does also reflect that the economic cycle - both in the United States and in most OECD countries - though not in all - has been more moderate since 1945.","There have been many periods of prolonged economic underperformance in particular countries / regions since 1945, but not in the United States.","This is a stylistic change, similar to the decline in the use of "" panic "" to refer to financial crises, but it does not reflect that the economic cycle - both in the United States and in most OECD countries - though not in all - has been more moderate since 1945.","This is a stylistic change, similar to the decline in the use of "" panic "" to refer to financial crises, but not in the United States."
Contrast,"but economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression.","and for the more widespread crises of the 1870s and 1930s,",How was the term 'Great Depression' used for regional crises?,"And for the more widespread crises of the 1870s and 1930s, but economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression.","And for the more widespread crises of the 1870s and 1930s, but economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression.","And for the more widespread crises of the 1870s and 1930s, but economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression.","And for the more widespread crises of the 1870s and 1930s, but economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression."
Contrast,"but economic crises since 1945 have generally been referred to as "" recessions "",","with the 1970s global crisis referred to as "" stagflation "", but not a depression.",How are economic crises since 1945 referred to?,"But economic crises since 1945 have generally been referred to as "" recessions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression.","But economic crises since 1945 have generally been referred to as "" depressions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression.","But economic crises since 1945 have generally been referred to as "" depressions "", with the 1970s global crisis referred to as "" stagflation "", but not a depression.","But economic crises since 1945 have generally been referred to as "" depressions "", with the 1980s global crisis referred to as "" depression "", but not a depression."
Contrast,"Under the second definition, depressions and recessions will always be distinct events","however, having the same starting dates.",How is a recession defined differently?,"However, depressions having the same starting dates. Under the second definition, depressions and recessions will always be distinct events.","Depressions having the same duration. Under the second definition, depressions and recessions will always be distinct events.","Depressions having the same starting dates. Under the second definition, depressions and recessions will always be distinct events.","Depressions having the same duration. Under the second definition, depressions and recessions will always be distinct events."
Enablement,"the phrase "" The Great Depression "" had already been used","to refer to the period 1873 - 96 ( in the United Kingdom ), or more narrowly 1873 - 79 ( in the United States ), which has since been renamed the Long Depression.","For what purpose was the phrase "" The Great Depression"" used?","To refer to the period 1873 - 96 ( in the United Kingdom ), or more narrowly 1873 - 79 ( in the United States ), the period has since been renamed the Long Depression.","To refer to the period 1873 - 96 ( in the United Kingdom ), or more narrowly 1873 - 79 ( in the United States ), the period has since been renamed the Long Depression.","To refer to the period 1873 - 96 ( in the United Kingdom ), or more narrowly 1873 - 79 ( in the United States ), the period has since been renamed the Long Depression.","To refer to the period 1873 - 96 ( in the United Kingdom ), or more narrowly 1873 - 79 ( in the United States ), the period has since been renamed the Long Depression."
Manner-Means,"Thomas Hobbes, an English philosopher, created the first recorded explanation of the need for a universal Social Contract in his 1651 book Leviathan",based on the general misery within society during this period.,How did Thomas Hobbes explain the need for a universal Social Contract?,Based on the general misery within society during this period.,Based on the speculative real estate market.,Based on the rise of the Stuart Monarchy.,Based on the adoption of the gold standard.
Manner-Means,"most economists refer to the Great Depression, as the period between 1929 and 1941.","Using the second definition of depression,",How is the Great Depression defined?,Using the second definition of depression.,Using the first definition of depression.,Using the third definition of depression.,Using the third definition of depression.
Manner-Means,to purchase goods,relative to the amount that could be produced using current resources and technology ( potential output ).,How are periods labeled depressions defined?,Relative to the amount could be produced using current resources and technology ( potential output.,A decline in real GDP exceeding 10 % and a recession lasting 2 or more years.,A decline in real GDP exceeding 10 % and a recession lasting 2 or more years.,A decline in real GDP exceeding 10 % and a recession lasting 2 or more years.
Manner-Means,that could be produced,using current resources and technology,How the goods can be produced in a recession according to the National Bureau of Economic Research?,Using current resources and technology.,Using current resources and technology.,Using current technology and innovation.,Using current resources and technology.
Temporal,"Argentina, Brazil, Chile, Mexico, and Peru experienced great depressions in the 1980s,",and Argentina experienced another between 1998 and 2002.,"After the global downturn, what was the definition of a great depression?",Argentina experienced another between 1998 and 2002.,The global recession was followed by a period of minimal growth and rising inflation.,The oil price rises and the deregulation caused a severe depression.,The European Union experienced another depression between 1980 and 2008.
Temporal,"coupled with the rising costs of maintenance of welfare state in most countries led to a recession between 1973 and 1975,",followed by a period of almost minimal growth and rising inflation and unemployment.,"After the 1973 oil crisis, what was the result of the recession?",A period of almost minimal growth and rising inflation and unemployment.,A period of almost minimal growth and rising inflation and unemployment.,A period of almost minimal growth and rising inflation and unemployment.,A period of almost minimal growth and rising inflation and unemployment.
Temporal,the Finnish markka was floated,"and was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment.","After the financial crisis of 1998, what happened to the Finnish economy?","The Finnish markka was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment.","The Finnish markka was floated and then replaced by the euro, ending decades of government control of the economy, but also high, persistent unemployment.","The Finnish markka was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment.","The Finnish markka was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment."
Temporal,"This depression is generally considered to have begun with the Wall Street Crash of 1929,",and the crisis quickly spread to other national economies.,After the Wall Street Crash of 1929?,The crisis quickly spread to other national economies.,the gross national product of the United States decreased by 33 %.,The rate of unemployment increased to 25 %.,The recession was longer than the 1930s depression.
Temporal,"##Starting with the adoption of the gold standard in Britain and the United States,",the Long Depression ( 1873 - 1896 ),"After the adoption of the gold standard in Britain and the United States, what was called the Great Depression?",The Long Depression ( 1873 - 1896.,The Great Depression ( 1873 - 1896).,The Great Depression ( 1873 - 1896).,The Great Depression ( 1873 - 1896.
Elaboration,"causing a recession in 1990 - 91 ( also fueled by the oil price crisis ),",whose effects lasted as late as 1994.,What was the oil price crisis?,Whose effects lasted as late as 1994.,Whose effects lasted as late as 1990.,Whose effects lasted as late as 1980.,Whose effects lasted as late as 1990.
Elaboration,##The economic crisis in the 1990s,that struck former members of the Soviet Union was almost twice as intense as the Great Depression in the countries of Western Europe and the United States in the 1930s.,What was the economic crisis in the 1990s comparable to the Great Depression in the Soviet Union?,Struck former members of the Soviet Union was almost twice as intense as the Great Depression in the countries of Western Europe and the United States in the 1930s.,The economic crisis in the 1990s was as severe as the Great Depression in the countries of Western Europe and the United States in the 1930s.,The economic crisis in the 1990s was as severe as the Great Depression in the countries of Western Europe and the United States in the 1930s.,The economic crisis in the 1990s was as severe as the Great Depression in the countries of Western Europe and the United States in the 1930s.
Elaboration,"The more common use, however, also encompasses the time",until the economic activity has returned close to normal levels.,What is the most common definition of depression?,The economic activity has returned close to normal levels.,The economic activity has decreased significantly.,The economic activity has decreased significantly.,The economic activity has decreased significantly.
Elaboration,Some economists refer only to the period,when economic activity is declining.,What do some economists refer to as the period?,Economic activity is declining.,The period when economic activity is increasing.,The period when the economy is in recession.,The period when the economy is in recession.
Elaboration,"It is a result of more severe economic problems or a downturn than the recession itself,",which is a slowdown in economic activity over the course of the normal business cycle of growing economy.,What is an economic depression?,Is a slowdown in economic activity over the course of the normal business cycle of growing economy.,Is a period of prolonged economic downturn that has worsened.,Is a period of increased economic activity that has worsened.,Is a period of prolonged economic downturn that has worsened.
Elaboration,that may be named economic depression are part of economic cycles,where the slowdown of the economy follows the economic growth and vice versa.,What is the relationship between economic cycles?,The slowdown of the economy follows the economic growth and vice versa.,The economy slows down and continues to grow.,The economy slows down and continues to grow.,The economy slows down and continues to grow.
