,source_sent,question,answer,dis1,dis2,dis3
10,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is one of the signs of an economic depression?,Lack of good social balance.,Economic crisis.,Economic crisis.,Economic growth.
11,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of a recession?,Lesser revenues for businesses.,Economic growth.,A drop in unemployment.,A decrease in the number of banks.
12,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,Economic difficulties.,Economic growth.,Economic instability.,Economic instability.
13,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,Signs of financial crisis.,Economic crisis.,Economic growth.,Economic crisis.
14,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of a financial crisis?,Work of banks.,Economic growth.,Economic development.,Economic development.
15,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is one of the signs of an economic depression?,Banking crisis.,The collapse of the Soviet Union.,The loss of the gold standard.,The collapse of the housing bubble.
16,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is one of the signs of an economic depression?,Crisis in investment.,Economic crisis.,Economic growth.,Economic slowdown.
17,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of a depression?,Credit.,Economic crisis.,Economic crisis.,Economic crisis.
18,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,Innovation.,Economic growth.,Economic instability.,Economic instability.
19,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,New businesses investments.,The increase in unemployment.,The increase in stock market.,The decrease in unemployment.
